 ,DocumentNo,LineNo,Type,No,LocationCode,PostingGroup,ShipmentDate,Description,Description2,UnitofMeasure,Quantity,UnitPrice,UnitCostLCY,VAT,LineDiscount,LineDiscountAmount,Amount,AmountIncludingVAT,AllowInvoiceDisc,GrossWeight,NetWeight,UnitsperParcel,UnitVolume,AppltoItemEntry,ShortcutDimension1Code,ShortcutDimension2Code,CustomerPriceGroup,JobNo,WorkTypeCode,ShipmentNo,ShipmentLineNo,OrderNo,OrderLineNo,BilltoCustomerNo,InvDiscountAmount,DropShipment,GenBusPostingGroup,GenProdPostingGroup,VATCalculationType,TransactionType,TransportMethod,AttachedtoLineNo,ExitPoint,Area,TransactionSpecification,TaxCategory,TaxAreaCode,TaxLiable,TaxGroupCode,VATClauseCode,VATBusPostingGroup,VATProdPostingGroup,BlanketOrderNo,BlanketOrderLineNo,VATBaseAmount,UnitCost,SystemCreatedEntry,LineAmount,VATDifference,VATIdentifier,ICPartnerRefType,ICPartnerReference,PrepaymentLine,ICPartnerCode,PostingDate,ICItemReferenceNo,PmtDiscountAmount,LineDiscountCalculation,DimensionSetID,JobTaskNo,JobContractEntryNo,DeferralCode,AllocationAccountNo,VariantCode,BinCode,QtyperUnitofMeasure,UnitofMeasureCode,QuantityBase,FAPostingDate,DepreciationBookCode,DepruntilFAPostingDate,DuplicateinDepreciationBook,UseDuplicationList,ResponsibilityCenter,ItemCategoryCode,Nonstock,PurchasingCode,ItemReferenceNo,ItemReferenceUnitofMeasure,ItemReferenceType,ItemReferenceTypeNo,ApplfromItemEntry,ReturnReasonCode,PriceCalculationMethod,AllowLineDisc,CustomerDiscGroup,Pricedescription,GSTPlaceofSupply,GSTGroupCode,GSTGroupType,HSNSACCode,GSTJurisdictionType,InvoiceType,Exempted,GSTRoundingLine,GSTOnAssessableValue,GSTAssessableValueLCY,NonGSTLine,PriceExclusiveofTax,GSTCredit,UnitPriceInclofTax,TotalUPITAmount,FOC,GSTCustomerType,ChargeGroupCode,ChargeGroupLineNo,TCSNatureofCollection,AssesseeCode,Remark,VariantName,PLNo,ModelNo,SystemCreatedAt,SystemCreatedBy,SystemId,SystemModifiedAt,SystemModifiedBy
,SINV24-02300,10000, ,,FG,,0001-01-01,Shipment No. DS24-01747:,,,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,UNIT-1,,,,,,0,,0,,0,FALSE,,,Normal VAT,,,0,,,,,,FALSE,,,,,,0,0,0,FALSE,0,0,, ,,FALSE,,02-03-2025,,0,None,0,,0,,,,,1,,0,0001-01-01,,FALSE,,FALSE,,,FALSE,,,, ,,0,, ,TRUE,,, ,,Goods,,Intrastate, ,FALSE,FALSE,FALSE,0,FALSE,FALSE, ,0,0,FALSE, ,,0,,,,,0,,2025-02-20T12:44:11.493Z,6492c667-81c4-47fc-a778-650a4fc08f50,255b82ef-76ee-ef11-8b71-0a94ef98bfef,2026-04-06T11:22:04.453Z,48a090f2-2dc7-40de-9c37-0302e188c9cc
C000106,SINV24-02300,20000,Item,FGSM00005,FG,FG-SOLAR,2/17/2025,SOLAR PANEL 520 WP MONO HALF CUT DCR,,NUMBERS,224,11440,5964.35,0,0,0,2562560,2562560,TRUE,0,0,0,0,0,UNIT-1,,,,,DS24-01747,10000,SO24-00676,10000,C000106,0,FALSE,NATIONAL,FG-SOLAR,Normal VAT,,,0,,,,,,FALSE,,,,,,0,2562560,5964.35,FALSE,2562560,0,1, ,,FALSE,,02-03-2025,,0,None,0,,0,,,BRD-00059,,1,NOS,224,0001-01-01,,FALSE,,FALSE,,FG-SOLAR PANEL WB,FALSE,,,, ,,0,,Lowest Price,TRUE,,,Bill-to Address,GD-12%,Goods,85414011,Interstate,Taxable,FALSE,FALSE,FALSE,0,FALSE,FALSE,Availment,0,0,FALSE,Registered,,0,,COM,,OSWAL,0,,2025-02-20T12:44:23.917Z,6492c667-81c4-47fc-a778-650a4fc08f50,565b82ef-76ee-ef11-8b71-0a94ef98bfef,2026-04-06T11:22:04.457Z,48a090f2-2dc7-40de-9c37-0302e188c9cc
,SINV24-02301,10000, ,,,,0001-01-01,Shipment No. DS24-01748:,,,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,UNIT-1,,,,,,0,,0,,0,FALSE,,,Normal VAT,,,0,,,,,,FALSE,,,,,,0,0,0,FALSE,0,0,, ,,FALSE,,02-03-2025,,0,None,0,,0,,,,,1,,0,0001-01-01,,FALSE,,FALSE,,,FALSE,,,, ,,0,, ,TRUE,,, ,,Goods,,Intrastate, ,FALSE,FALSE,FALSE,0,FALSE,FALSE, ,0,0,FALSE, ,,0,,,,,0,,2025-02-21T11:15:37.947Z,b17d676c-55f9-4ada-bdcc-a9d727081c82,59072d01-9dee-ef11-8b71-0a94ef98bfef,2026-04-06T11:22:06.157Z,48a090f2-2dc7-40de-9c37-0302e188c9cc
C000106,SINV24-02301,20000,Item,FGSM00005,FG,FG-SOLAR,02-01-2025,SOLAR PANEL 520 WP MONO HALF CUT DCR,,NUMBERS,196,11440,5964.35,0,0,0,2242240,2242240,TRUE,0,0,0,0,0,UNIT-1,,,,,DS24-01748,10000,SO24-00676,10000,C000106,0,FALSE,NATIONAL,FG-SOLAR,Normal VAT,,,0,,,,,,FALSE,,,,,,0,2242240,5964.35,FALSE,2242240,0,1, ,,FALSE,,02-03-2025,,0,None,0,,0,,,BRD-00059,,1,NOS,196,0001-01-01,,FALSE,,FALSE,,FG-SOLAR PANEL WB,FALSE,,,, ,,0,,Lowest Price,TRUE,,,Bill-to Address,GD-12%,Goods,85414011,Intrastate,Taxable,FALSE,FALSE,FALSE,0,FALSE,FALSE,Availment,0,0,FALSE,Registered,,0,,COM,,OSWAL,0,,2025-02-21T11:15:52.133Z,b17d676c-55f9-4ada-bdcc-a9d727081c82,8a072d01-9dee-ef11-8b71-0a94ef98bfef,2026-04-06T11:22:06.157Z,48a090f2-2dc7-40de-9c37-0302e188c9cc
,SINV24-02302,10000, ,,FG,,0001-01-01,Shipment No. DS24-01749:,,,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,UNIT-1,,,,,,0,,0,,0,FALSE,,,Normal VAT,,,0,,,,,,FALSE,,,,,,0,0,0,FALSE,0,0,, ,,FALSE,,02-01-2025,,0,None,0,,0,,,,,1,,0,0001-01-01,,FALSE,,FALSE,,,FALSE,,,, ,,0,, ,TRUE,,, ,,Goods,,Intrastate, ,FALSE,FALSE,FALSE,0,FALSE,FALSE, ,0,0,FALSE, ,,0,,,,,0,,2025-02-27T09:44:58.903Z,b17d676c-55f9-4ada-bdcc-a9d727081c82,6d82a268-86ef-ef11-8b71-0a94ef98bfef,2026-04-06T11:22:07.607Z,48a090f2-2dc7-40de-9c37-0302e188c9cc
C000248,SINV24-02302,20000,Item,FGSM00001,FG,FG-SOLAR,2/17/2025,SOLAR PANEL 540 WP MONO HALF CUT DCR,,NUMBERS,252,11880,5964.35,0,0,0,2993760,2993760,TRUE,0,0,0,0,0,UNIT-1,,,,,DS24-01749,10000,SO24-00680,10000,C000248,0,FALSE,NATIONAL,FG-SOLAR,Normal VAT,,,0,,,,,,FALSE,,,,,,0,2993760,5964.35,FALSE,2993760,0,1, ,,FALSE,,02-01-2025,,0,None,0,,0,,,BRD-00059,,1,NOS,252,0001-01-01,,FALSE,,FALSE,,FG-SOLAR PANEL WB,FALSE,,,, ,,0,,Lowest Price,TRUE,,,Bill-to Address,GD-12%,Goods,85414011,Interstate,Taxable,FALSE,FALSE,FALSE,0,FALSE,FALSE,Availment,0,0,FALSE,Registered,,0,,IND,,OSWAL,0,,2025-02-27T09:45:13.95Z,b17d676c-55f9-4ada-bdcc-a9d727081c82,9a82a268-86ef-ef11-8b71-0a94ef98bfef,2026-04-06T11:22:07.61Z,48a090f2-2dc7-40de-9c37-0302e188c9cc
,SINV24-02303,10000, ,,FG,,0001-01-01,Shipment No. DS24-01750:,,,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,UNIT-1,,,,,,0,,0,,0,FALSE,,,Normal VAT,,,0,,,,,,FALSE,,,,,,0,0,0,FALSE,0,0,, ,,FALSE,,02-01-2025,,0,None,0,,0,,,,,1,,0,0001-01-01,,FALSE,,FALSE,,,FALSE,,,, ,,0,, ,TRUE,,, ,,Goods,,Intrastate, ,FALSE,FALSE,FALSE,0,FALSE,FALSE, ,0,0,FALSE, ,,0,,,,,0,,2025-02-27T09:47:17.02Z,b17d676c-55f9-4ada-bdcc-a9d727081c82,91cb47ce-4af0-ef11-8b71-0a94ef98bfef,2026-04-06T11:22:09.45Z,48a090f2-2dc7-40de-9c37-0302e188c9cc
C000106,SINV24-02303,20000,Item,FGSM00005,FG,FG-SOLAR,2/17/2025,SOLAR PANEL 520 WP MONO HALF CUT DCR,,NUMBERS,224,11440,5964.35,0,0,0,2562560,2562560,TRUE,0,0,0,0,0,UNIT-1,,,,,DS24-01750,10000,SO24-00676,10000,C000106,0,FALSE,NATIONAL,FG-SOLAR,Normal VAT,,,0,,,,,,FALSE,,,,,,0,2562560,5964.35,FALSE,2562560,0,1, ,,FALSE,,02-01-2025,,0,None,0,,0,,,BRD-00059,,1,NOS,224,0001-01-01,,FALSE,,FALSE,,FG-SOLAR PANEL WB,FALSE,,,, ,,0,,Lowest Price,TRUE,,,Bill-to Address,GD-12%,Goods,85414011,Intrastate,Taxable,FALSE,FALSE,FALSE,0,FALSE,FALSE,Availment,0,0,FALSE,Registered,,0,,COM,,OSWAL,0,OSWAL520MP144,2025-02-27T09:47:32.49Z,b17d676c-55f9-4ada-bdcc-a9d727081c82,92cb47ce-4af0-ef11-8b71-0a94ef98bfef,2026-04-06T11:22:09.453Z,48a090f2-2dc7-40de-9c37-0302e188c9cc
,SINV24-02304,10000, ,,FG,,0001-01-01,Shipment No. DS24-01751:,,,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,UNIT-1,,,,,,0,,0,,0,FALSE,,,Normal VAT,,,0,,,,,,FALSE,,,,,,0,0,0,FALSE,0,0,, ,,FALSE,,02-01-2025,,0,None,0,,0,,,,,1,,0,0001-01-01,,FALSE,,FALSE,,,FALSE,,,, ,,0,, ,TRUE,,, ,,Goods,,Intrastate, ,FALSE,FALSE,FALSE,0,FALSE,FALSE, ,0,0,FALSE, ,,0,,,,,0,,2025-03-08T07:06:05.5Z,b17d676c-55f9-4ada-bdcc-a9d727081c82,5d5f3a6a-ebfb-ef11-8b73-0a94ef98bfef,2026-04-06T11:22:11.137Z,48a090f2-2dc7-40de-9c37-0302e188c9cc
C000106,SINV24-02304,20000,Item,FGSM00005,FG,FG-SOLAR,2/17/2025,SOLAR PANEL 520 WP MONO HALF CUT DCR,,NUMBERS,224,11440,5964.35,0,0,0,2562560,2562560,TRUE,0,0,0,0,0,UNIT-1,,,,,DS24-01751,10000,SO24-00676,10000,C000106,0,FALSE,NATIONAL,FG-SOLAR,Normal VAT,,,0,,,,,,FALSE,,,,,,0,2562560,5964.35,FALSE,2562560,0,1, ,,FALSE,,02-01-2025,,0,None,0,,0,,,BRD-00059,,1,NOS,224,0001-01-01,,FALSE,,FALSE,,FG-SOLAR PANEL WB,FALSE,,,, ,,0,,Lowest Price,TRUE,,,Bill-to Address,GD-12%,Goods,85414011,Interstate,Taxable,FALSE,FALSE,FALSE,0,FALSE,FALSE,Availment,0,0,FALSE,Registered,,0,,COM,,OSWAL,0,,2025-03-08T07:06:19.27Z,b17d676c-55f9-4ada-bdcc-a9d727081c82,8e5f3a6a-ebfb-ef11-8b73-0a94ef98bfef,2026-04-06T11:22:11.14Z,48a090f2-2dc7-40de-9c37-0302e188c9cc
